sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"MXD4","Approved symbol","MXD4","MAX dimerization protein 4","HGNC:13906","4p16.3"
"MXI1","Approved symbol","MXI1","MAX interactor 1, dimerization protein","HGNC:7534","10q25.2"
"MXRA7","Approved symbol","MXRA7","matrix remodeling associated 7","HGNC:7541","17q25.1"
"MXRA8","Approved symbol","MXRA8","matrix remodeling associated 8","HGNC:7542","1p36.33"
"MYADM","Approved symbol","MYADM","myeloid associated differentiation marker","HGNC:7544","19q13.42"
"MYBBP1A","Approved symbol","MYBBP1A","MYB binding protein 1a","HGNC:7546","17p13.2"
"MYBL1","Approved symbol","MYBL1","MYB proto-oncogene like 1","HGNC:7547","8q13.1"
"MYBL2","Approved symbol","MYBL2","MYB proto-oncogene like 2","HGNC:7548","20q13.12"
"MYC","Approved symbol","MYC","MYC proto-oncogene, bHLH transcription factor","HGNC:7553","8q24.21"
"MYCBP","Approved symbol","MYCBP","MYC binding protein","HGNC:7554","1p34.3"
"MYCBP2","Approved symbol","MYCBP2","MYC binding protein 2","HGNC:23386","13q22.3"
"MYCBPAP","Approved symbol","MYCBPAP","MYCBP associated protein","HGNC:19677","17q21.33"
"MYCL","Approved symbol","MYCL","MYCL proto-oncogene, bHLH transcription factor","HGNC:7555","1p34.2"
"MYD88","Approved symbol","MYD88","MYD88 innate immune signal transduction adaptor","HGNC:7562","3p22.2"
"MYEF2","Approved symbol","MYEF2","myelin expression factor 2","HGNC:17940","15q21.1"
"MYEOV","Approved symbol","MYEOV","myeloma overexpressed","HGNC:7563","11q13.3"
"MYEOV2","Previous symbol","COPS9","COP9 signalosome subunit 9","HGNC:21314","2q37.3"
"MYH10","Approved symbol","MYH10","myosin heavy chain 10","HGNC:7568","17p13.1"
"MYH14","Approved symbol","MYH14","myosin heavy chain 14","HGNC:23212","19q13.33"
"MYH14","Alias symbol","MYH7B","myosin heavy chain 7B","HGNC:15906","20q11.22"
"MYH15","Approved symbol","MYH15","myosin heavy chain 15","HGNC:31073","3q13.13"
"MYH3","Approved symbol","MYH3","myosin heavy chain 3","HGNC:7573","17p13.1"
"MYH9","Approved symbol","MYH9","myosin heavy chain 9","HGNC:7579","22q12.3"
"MYL12A","Approved symbol","MYL12A","myosin light chain 12A","HGNC:16701","18p11.31"
"MYL12B","Approved symbol","MYL12B","myosin light chain 12B","HGNC:29827","18p11.31"
"MYL4","Approved symbol","MYL4","myosin light chain 4","HGNC:7585","17q21.32"
"MYL5","Approved symbol","MYL5","myosin light chain 5","HGNC:7586","4p16.3"
"MYL6","Approved symbol","MYL6","myosin light chain 6","HGNC:7587","12q13.2"
"MYL6B","Approved symbol","MYL6B","myosin light chain 6B","HGNC:29823","12q13.2"
"MYL9","Approved symbol","MYL9","myosin light chain 9","HGNC:15754","20q11.23"
"MYLIP","Approved symbol","MYLIP","myosin regulatory light chain interacting protein","HGNC:21155","6p22.3"
"MYLK","Approved symbol","MYLK","myosin light chain kinase","HGNC:7590","3q21.1"
"MYNN","Approved symbol","MYNN","myoneurin","HGNC:14955","3q26.2"
"MYO10","Approved symbol","MYO10","myosin X","HGNC:7593","5p15.1"
"MYO15B","Approved symbol","MYO15B","myosin XVB","HGNC:14083","17q25.1"
"MYO18A","Approved symbol","MYO18A","myosin XVIIIA","HGNC:31104","17q11.2"
"MYO18B","Approved symbol","MYO18B","myosin XVIIIB","HGNC:18150","22q12.1"
"MYO19","Approved symbol","MYO19","myosin XIX","HGNC:26234","17q12"
"MYO1A","Approved symbol","MYO1A","myosin IA","HGNC:7595","12q13.3"
"MYO1B","Approved symbol","MYO1B","myosin IB","HGNC:7596","2q32.3"
"MYO1C","Approved symbol","MYO1C","myosin IC","HGNC:7597","17p13.3"
"MYO1C","Alias symbol","MYO1E","myosin IE","HGNC:7599","15q22.2"
"MYO1D","Approved symbol","MYO1D","myosin ID","HGNC:7598","17q11.2"
"MYO1E","Approved symbol","MYO1E","myosin IE","HGNC:7599","15q22.2"
"MYO1F","Approved symbol","MYO1F","myosin IF","HGNC:7600","19p13.2"
"MYO5A","Approved symbol","MYO5A","myosin VA","HGNC:7602","15q21.2"
"MYO5B","Approved symbol","MYO5B","myosin VB","HGNC:7603","18q"
"MYO5C","Approved symbol","MYO5C","myosin VC","HGNC:7604","15q21.2"
"MYO6","Approved symbol","MYO6","myosin VI","HGNC:7605","6q14.1"
"MYO7A","Approved symbol","MYO7A","myosin VIIA","HGNC:7606","11q13.5"
"MYO9A","Approved symbol","MYO9A","myosin IXA","HGNC:7608","15q23"
"MYO9B","Approved symbol","MYO9B","myosin IXB","HGNC:7609","19p13.11"
"MYOCD","Approved symbol","MYOCD","myocardin","HGNC:16067","17p12"
"MYOF","Approved symbol","MYOF","myoferlin","HGNC:3656","10q23.33"
"MYOM1","Approved symbol","MYOM1","myomesin 1","HGNC:7613","18p11.31"
"MYOM2","Approved symbol","MYOM2","myomesin 2","HGNC:7614","8p23.3"
"MYOM3","Approved symbol","MYOM3","myomesin 3","HGNC:26679","1p36.11"
"MYPN","Approved symbol","MYPN","myopalladin","HGNC:23246","10q21.3"
"MYPOP","Approved symbol","MYPOP","Myb related transcription factor, partner of profilin","HGNC:20178","19q13.32"
"MYRF","Approved symbol","MYRF","myelin regulatory factor","HGNC:1181","11q12.2"
"MYSM1","Approved symbol","MYSM1","Myb like, SWIRM and MPN domains 1","HGNC:29401","1p32.1"
"MZF1","Approved symbol","MZF1","myeloid zinc finger 1","HGNC:13108","19q13.43"
"MZT1","Approved symbol","MZT1","mitotic spindle organizing protein 1","HGNC:33830","13q21.33"
"MZT2A","Approved symbol","MZT2A","mitotic spindle organizing protein 2A","HGNC:33187","2q21.1"
"MZT2B","Approved symbol","MZT2B","mitotic spindle organizing protein 2B","HGNC:25886","2q21.1"
"N4BP1","Approved symbol","N4BP1","NEDD4 binding protein 1","HGNC:29850","16q12.1"
"N4BP2","Approved symbol","N4BP2","NEDD4 binding protein 2","HGNC:29851","4p14"
"N4BP2L1","Approved symbol","N4BP2L1","NEDD4 binding protein 2 like 1","HGNC:25037","13q13.1"
"N4BP2L2","Approved symbol","N4BP2L2","NEDD4 binding protein 2 like 2","HGNC:26916","13q13.1"
"N4BP3","Approved symbol","N4BP3","NEDD4 binding protein 3","HGNC:29852","5q35.3"
"N6AMT1","Approved symbol","N6AMT1","N-6 adenine-specific DNA methyltransferase 1","HGNC:16021","21q21.3"
"N6AMT2","Previous symbol","EEF1AKMT1","EEF1A lysine methyltransferase 1","HGNC:27351","13q12.11"
"NAA10","Approved symbol","NAA10","N-alpha-acetyltransferase 10, NatA catalytic subunit","HGNC:18704","Xq28"
"NAA15","Approved symbol","NAA15","N-alpha-acetyltransferase 15, NatA auxiliary subunit","HGNC:30782","4q31.1"
"NAA16","Approved symbol","NAA16","N-alpha-acetyltransferase 16, NatA auxiliary subunit","HGNC:26164","13q14.11"
"NAA20","Approved symbol","NAA20","N-alpha-acetyltransferase 20, NatB catalytic subunit","HGNC:15908","20p11.23"
"NAA25","Approved symbol","NAA25","N-alpha-acetyltransferase 25, NatB auxiliary subunit","HGNC:25783","12q24.13"
"NAA30","Approved symbol","NAA30","N-alpha-acetyltransferase 30, NatC catalytic subunit","HGNC:19844","14q22.2"
"NAA35","Approved symbol","NAA35","N-alpha-acetyltransferase 35, NatC auxiliary subunit","HGNC:24340","9q21.33"
"NAA38","Approved symbol","NAA38","N-alpha-acetyltransferase 38, NatC auxiliary subunit","HGNC:28212","17p13.1"
"NAA40","Approved symbol","NAA40","N-alpha-acetyltransferase 40, NatD catalytic subunit","HGNC:25845","11q13.1"
"NAA50","Approved symbol","NAA50","N-alpha-acetyltransferase 50, NatE catalytic subunit","HGNC:29533","3q13.31"
"NAA60","Approved symbol","NAA60","N-alpha-acetyltransferase 60, NatF catalytic subunit","HGNC:25875","16p13.3"
"NAAA","Approved symbol","NAAA","N-acylethanolamine acid amidase","HGNC:736","4q21.1"
"NAALAD2","Approved symbol","NAALAD2","N-acetylated alpha-linked acidic dipeptidase 2","HGNC:14526","11q14.3"
"NAB1","Approved symbol","NAB1","NGFI-A binding protein 1","HGNC:7626","2q32.2"
"NAB2","Approved symbol","NAB2","NGFI-A binding protein 2","HGNC:7627","12q13.3"
"NABP1","Approved symbol","NABP1","nucleic acid binding protein 1","HGNC:26232","2q32.3"
"NABP2","Approved symbol","NABP2","nucleic acid binding protein 2","HGNC:28412","12q13.3"
"NACA","Approved symbol","NACA","nascent polypeptide associated complex subunit alpha","HGNC:7629","12q23-q24.1"
"NACC1","Approved symbol","NACC1","nucleus accumbens associated 1","HGNC:20967","19p13.13"
"NACC2","Approved symbol","NACC2","NACC family member 2","HGNC:23846","9q34.3"
"NADK","Approved symbol","NADK","NAD kinase","HGNC:29831","1p36.33"
"NADK2","Approved symbol","NADK2","NAD kinase 2, mitochondrial","HGNC:26404","5p13.2"
"NADSYN1","Approved symbol","NADSYN1","NAD synthetase 1","HGNC:29832","11q13.4"
"NAE1","Approved symbol","NAE1","NEDD8 activating enzyme E1 subunit 1","HGNC:621","16q22.1"
"NAF1","Approved symbol","NAF1","nuclear assembly factor 1 ribonucleoprotein","HGNC:25126","4q32.2"
"NAF1","Alias symbol","TNIP1","TNFAIP3 interacting protein 1","HGNC:16903","5q33.1"
"NAGA","Approved symbol","NAGA","alpha-N-acetylgalactosaminidase","HGNC:7631","22q13.2"
"NAGK","Approved symbol","NAGK","N-acetylglucosamine kinase","HGNC:17174","2p13.3"
"NAGLU","Approved symbol","NAGLU","N-acetyl-alpha-glucosaminidase","HGNC:7632","17q21.2"
"NAGPA","Approved symbol","NAGPA","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","HGNC:17378","16p13.3"
"NAGS","Approved symbol","NAGS","N-acetylglutamate synthase","HGNC:17996","17q21.31"
"NAIF1","Approved symbol","NAIF1","nuclear apoptosis inducing factor 1","HGNC:25446","9q34.11"
"NAIP","Approved symbol","NAIP","NLR family apoptosis inhibitory protein","HGNC:7634","5q13.2"
"NALCN","Approved symbol","NALCN","sodium leak channel, non-selective","HGNC:19082","13q32.3-q33.1"
"NAMPT","Approved symbol","NAMPT","nicotinamide phosphoribosyltransferase","HGNC:30092","7q22.3"
"NANOS1","Approved symbol","NANOS1","nanos C2HC-type zinc finger 1","HGNC:23044","10q26.11"
"NANP","Approved symbol","NANP","N-acetylneuraminic acid phosphatase","HGNC:16140","20p11.21"
"NANS","Approved symbol","NANS","N-acetylneuraminate synthase","HGNC:19237","9q22.33"
"NAP1L1","Approved symbol","NAP1L1","nucleosome assembly protein 1 like 1","HGNC:7637","12q21.1"
"NAP1L2","Approved symbol","NAP1L2","nucleosome assembly protein 1 like 2","HGNC:7638","Xq13.2"
"NAP1L4","Approved symbol","NAP1L4","nucleosome assembly protein 1 like 4","HGNC:7640","11p15.4"
"NAP1L5","Approved symbol","NAP1L5","nucleosome assembly protein 1 like 5","HGNC:19968","4q22.1"
"NAPA","Approved symbol","NAPA","NSF attachment protein alpha","HGNC:7641","19q13.33"
"NAPA","Alias symbol","NAPSA","napsin A aspartic peptidase","HGNC:13395","19q13.33"
"NAPB","Approved symbol","NAPB","NSF attachment protein beta","HGNC:15751","20p11.21"
"NAPB","Alias symbol","NAPSB","napsin B aspartic peptidase, pseudogene","HGNC:13396","19q13.33"
"NAPEPLD","Approved symbol","NAPEPLD","N-acyl phosphatidylethanolamine phospholipase D","HGNC:21683","7q22.1"
"NAPG","Approved symbol","NAPG","NSF attachment protein gamma","HGNC:7642","18p11.22"
"NAPRT1","Previous symbol","NAPRT","nicotinate phosphoribosyltransferase","HGNC:30450","8q24.3"
"NAPSA","Approved symbol","NAPSA","napsin A aspartic peptidase","HGNC:13395","19q13.33"
"NARF","Approved symbol","NARF","nuclear prelamin A recognition factor","HGNC:29916","17q25.3"
"NARF","Alias symbol","RNF138","ring finger protein 138","HGNC:17765","18q12.1"
"NARFL","Previous symbol","CIAO3","cytosolic iron-sulfur assembly component 3","HGNC:14179","16p13.3"
"NARG2","Previous symbol","ICE2","interactor of little elongation complex ELL subunit 2","HGNC:29885","15q22.2"
"NARS","Previous symbol","NARS1","asparaginyl-tRNA synthetase 1","HGNC:7643","18q21.31"
"NARS2","Approved symbol","NARS2","asparaginyl-tRNA synthetase 2, mitochondrial","HGNC:26274","11q14.1"
"NASP","Approved symbol","NASP","nuclear autoantigenic sperm protein","HGNC:7644","1p34.1"
"NAT1","Approved symbol","NAT1","N-acetyltransferase 1","HGNC:7645","8p22"
"NAT1","Previous symbol","SLC6A2","solute carrier family 6 member 2","HGNC:11048","16q12.2"
"NAT1","Alias symbol","EIF4G2","eukaryotic translation initiation factor 4 gamma 2","HGNC:3297","11p15.4"
"NAT10","Approved symbol","NAT10","N-acetyltransferase 10","HGNC:29830","11p13"
"NAT14","Approved symbol","NAT14","N-acetyltransferase 14 (putative)","HGNC:28918","19q13.42"
"NAT6","Previous symbol","NAA80","N-alpha-acetyltransferase 80, NatH catalytic subunit","HGNC:30252","3p21.31"
"NAT8L","Approved symbol","NAT8L","N-acetyltransferase 8 like","HGNC:26742","4p16.3"
"NAT9","Approved symbol","NAT9","N-acetyltransferase 9 (putative)","HGNC:23133","17q25.2"
"NAV1","Approved symbol","NAV1","neuron navigator 1","HGNC:15989","1q32.1"
"NAV2","Approved symbol","NAV2","neuron navigator 2","HGNC:15997","11p15.1"
"NAV3","Approved symbol","NAV3","neuron navigator 3","HGNC:15998","12q21.2"
"NBAS","Approved symbol","NBAS","NBAS subunit of NRZ tethering complex","HGNC:15625","2p24.3"
"NBEA","Approved symbol","NBEA","neurobeachin","HGNC:7648","13q13.3"
"NBEAL1","Approved symbol","NBEAL1","neurobeachin like 1","HGNC:20681","2q33.2"
"NBEAL2","Approved symbol","NBEAL2","neurobeachin like 2","HGNC:31928","3p21.31"
"NBL1","Approved symbol","NBL1","NBL1, DAN family BMP antagonist","HGNC:7650","1p36.13"
"NBN","Approved symbol","NBN","nibrin","HGNC:7652","8q21.3"
"NBN","Alias symbol","ARTN","artemin","HGNC:727","1p34.1"
"NBPF1","Approved symbol","NBPF1","NBPF member 1","HGNC:26088","1p36.13"
"NBPF10","Approved symbol","NBPF10","NBPF member 10","HGNC:31992","1q21.1"
"NBPF12","Approved symbol","NBPF12","NBPF member 12","HGNC:24297","1q21.1"
"NBPF14","Approved symbol","NBPF14","NBPF member 14","HGNC:25232","1q21.2"
"NBPF15","Approved symbol","NBPF15","NBPF member 15","HGNC:28791","1q21.1"
"NBPF20","Approved symbol","NBPF20","NBPF member 20","HGNC:32000","1q21.1"
"NBPF3","Approved symbol","NBPF3","NBPF member 3","HGNC:25076","1p36.12"
"NBPF9","Approved symbol","NBPF9","NBPF member 9","HGNC:31991","1q21.2"
"NBR1","Approved symbol","NBR1","NBR1 autophagy cargo receptor","HGNC:6746","17q21.31"
"NCALD","Approved symbol","NCALD","neurocalcin delta","HGNC:7655","8q22.3"
"NCAPD2","Approved symbol","NCAPD2","non-SMC condensin I complex subunit D2","HGNC:24305","12p13.31"
"NCAPD3","Approved symbol","NCAPD3","non-SMC condensin II complex subunit D3","HGNC:28952","11q25"
"NCAPG","Approved symbol","NCAPG","non-SMC condensin I complex subunit G","HGNC:24304","4p15.31"
"NCAPG2","Approved symbol","NCAPG2","non-SMC condensin II complex subunit G2","HGNC:21904","7q36.3"
"NCAPH","Approved symbol","NCAPH","non-SMC condensin I complex subunit H","HGNC:1112","2q11.2"
"NCAPH2","Approved symbol","NCAPH2","non-SMC condensin II complex subunit H2","HGNC:25071","22q13.33"
"NCBP1","Approved symbol","NCBP1","nuclear cap binding protein subunit 1","HGNC:7658","9q22.33"
"NCBP2","Approved symbol","NCBP2","nuclear cap binding protein subunit 2","HGNC:7659","3q29"
"NCDN","Approved symbol","NCDN","neurochondrin","HGNC:17597","1p34.3"
"NCEH1","Approved symbol","NCEH1","neutral cholesterol ester hydrolase 1","HGNC:29260","3q26.31"
"NCK1","Approved symbol","NCK1","NCK adaptor protein 1","HGNC:7664","3q22.3"
"NCK2","Approved symbol","NCK2","NCK adaptor protein 2","HGNC:7665","2q12.2"
"NCKAP1","Approved symbol","NCKAP1","NCK associated protein 1","HGNC:7666","2q32.1"
"NCKAP5","Approved symbol","NCKAP5","NCK associated protein 5","HGNC:29847","2q21.2"
"NCKAP5L","Approved symbol","NCKAP5L","NCK associated protein 5 like","HGNC:29321","12q13.12"
"NCKIPSD","Approved symbol","NCKIPSD","NCK interacting protein with SH3 domain","HGNC:15486","3p21.31"
"NCL","Approved symbol","NCL","nucleolin","HGNC:7667","2q37.1"
"NCLN","Approved symbol","NCLN","nicalin","HGNC:26923","19p13.3"
"NCMAP","Approved symbol","NCMAP","non-compact myelin associated protein","HGNC:29332","1p36.11"
"NCOA1","Approved symbol","NCOA1","nuclear receptor coactivator 1","HGNC:7668","2p23.3"
"NCOA2","Approved symbol","NCOA2","nuclear receptor coactivator 2","HGNC:7669","8q13.3"
"NCOA3","Approved symbol","NCOA3","nuclear receptor coactivator 3","HGNC:7670","20q13.12"
"NCOA4","Approved symbol","NCOA4","nuclear receptor coactivator 4","HGNC:7671","10q11.22"
"NCOA5","Approved symbol","NCOA5","nuclear receptor coactivator 5","HGNC:15909","20q13.12"
"NCOA6","Approved symbol","NCOA6","nuclear receptor coactivator 6","HGNC:15936","20q11.22"
"NCOA7","Approved symbol","NCOA7","nuclear receptor coactivator 7","HGNC:21081","6q22.31-q22.32"
"NCOR1","Approved symbol","NCOR1","nuclear receptor corepressor 1","HGNC:7672","17p12-p11.2"
"NCOR2","Approved symbol","NCOR2","nuclear receptor corepressor 2","HGNC:7673","12q24.31"
"NCR3LG1","Approved symbol","NCR3LG1","natural killer cell cytotoxicity receptor 3 ligand 1","HGNC:42400","11p15.1"
"NCS1","Approved symbol","NCS1","neuronal calcium sensor 1","HGNC:3953","9q34.11"
"NCSTN","Approved symbol","NCSTN","nicastrin","HGNC:17091","1q23.2"
"NDC1","Approved symbol","NDC1","NDC1 transmembrane nucleoporin","HGNC:25525","1p32.3"
"NDC80","Approved symbol","NDC80","NDC80 kinetochore complex component","HGNC:16909","18p11.32"
"NDE1","Approved symbol","NDE1","nudE neurodevelopment protein 1","HGNC:17619","16p13.11"
"NDEL1","Approved symbol","NDEL1","nudE neurodevelopment protein 1 like 1","HGNC:17620","17p13.1"
"NDFIP1","Approved symbol","NDFIP1","Nedd4 family interacting protein 1","HGNC:17592","5q31.3"
"NDFIP2","Approved symbol","NDFIP2","Nedd4 family interacting protein 2","HGNC:18537","13q31.1"
"NDNL2","Previous symbol","NSMCE3","NSE3 homolog, SMC5-SMC6 complex component","HGNC:7677","15q13.1"
"NDOR1","Approved symbol","NDOR1","NADPH dependent diflavin oxidoreductase 1","HGNC:29838","9q34.3"
"NDRG1","Approved symbol","NDRG1","N-myc downstream regulated 1","HGNC:7679","8q24.22"
"NDRG2","Approved symbol","NDRG2","NDRG family member 2","HGNC:14460","14q11.2"
"NDRG3","Approved symbol","NDRG3","NDRG family member 3","HGNC:14462","20q11.23"
"NDRG4","Approved symbol","NDRG4","NDRG family member 4","HGNC:14466","16q21"
"NDST1","Approved symbol","NDST1","N-deacetylase and N-sulfotransferase 1","HGNC:7680","5q33.1"
"NDUFA1","Approved symbol","NDUFA1","NADH:ubiquinone oxidoreductase subunit A1","HGNC:7683","Xq24"
"NDUFA10","Approved symbol","NDUFA10","NADH:ubiquinone oxidoreductase subunit A10","HGNC:7684","2q37.3"
"NDUFA11","Approved symbol","NDUFA11","NADH:ubiquinone oxidoreductase subunit A11","HGNC:20371","19p13.3"
"NDUFA12","Approved symbol","NDUFA12","NADH:ubiquinone oxidoreductase subunit A12","HGNC:23987","12q22"
"NDUFA13","Approved symbol","NDUFA13","NADH:ubiquinone oxidoreductase subunit A13","HGNC:17194","19p13.11"
"NDUFA2","Approved symbol","NDUFA2","NADH:ubiquinone oxidoreductase subunit A2","HGNC:7685","5q31.3"
"NDUFA3","Approved symbol","NDUFA3","NADH:ubiquinone oxidoreductase subunit A3","HGNC:7686","19q13.42"
"NDUFA4","Approved symbol","NDUFA4","NDUFA4 mitochondrial complex associated","HGNC:7687","7p21.3"
"NDUFA4L2","Approved symbol","NDUFA4L2","NDUFA4 mitochondrial complex associated like 2","HGNC:29836","12q13.3"
"NDUFA5","Approved symbol","NDUFA5","NADH:ubiquinone oxidoreductase subunit A5","HGNC:7688","7q31.32"
"NDUFA6","Approved symbol","NDUFA6","NADH:ubiquinone oxidoreductase subunit A6","HGNC:7690","22q13.2"
"NDUFA7","Approved symbol","NDUFA7","NADH:ubiquinone oxidoreductase subunit A7","HGNC:7691","19p13.2"
"NDUFA8","Approved symbol","NDUFA8","NADH:ubiquinone oxidoreductase subunit A8","HGNC:7692","9q33.2"
"NDUFA9","Approved symbol","NDUFA9","NADH:ubiquinone oxidoreductase subunit A9","HGNC:7693","12p13.3"
"NDUFAB1","Approved symbol","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1","HGNC:7694","16p12.2"
"NDUFAF1","Approved symbol","NDUFAF1","NADH:ubiquinone oxidoreductase complex assembly factor 1","HGNC:18828","15q15.1"
"NDUFAF2","Approved symbol","NDUFAF2","NADH:ubiquinone oxidoreductase complex assembly factor 2","HGNC:28086","5q12.1"
"NDUFAF3","Approved symbol","NDUFAF3","NADH:ubiquinone oxidoreductase complex assembly factor 3","HGNC:29918","3p21.31"
"NDUFAF4","Approved symbol","NDUFAF4","NADH:ubiquinone oxidoreductase complex assembly factor 4","HGNC:21034","6q16.1"
"NDUFAF5","Approved symbol","NDUFAF5","NADH:ubiquinone oxidoreductase complex assembly factor 5","HGNC:15899","20p12.1"
"NDUFAF6","Approved symbol","NDUFAF6","NADH:ubiquinone oxidoreductase complex assembly factor 6","HGNC:28625","8q22.1"
"NDUFAF7","Approved symbol","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7","HGNC:28816","2p22.2"
"NDUFB1","Approved symbol","NDUFB1","NADH:ubiquinone oxidoreductase subunit B1","HGNC:7695","14q31.3"
"NDUFB10","Approved symbol","NDUFB10","NADH:ubiquinone oxidoreductase subunit B10","HGNC:7696","16p13.3"
"NDUFB11","Approved symbol","NDUFB11","NADH:ubiquinone oxidoreductase subunit B11","HGNC:20372","Xp11.3"
"NDUFB2","Approved symbol","NDUFB2","NADH:ubiquinone oxidoreductase subunit B2","HGNC:7697","7q34"
"NDUFB3","Approved symbol","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3","HGNC:7698","2q33.1"
"NDUFB4","Approved symbol","NDUFB4","NADH:ubiquinone oxidoreductase subunit B4","HGNC:7699","3q13.33"
"NDUFB5","Approved symbol","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5","HGNC:7700","3q26.33"
"NDUFB6","Approved symbol","NDUFB6","NADH:ubiquinone oxidoreductase subunit B6","HGNC:7701","9p21.1"
"NDUFB7","Approved symbol","NDUFB7","NADH:ubiquinone oxidoreductase subunit B7","HGNC:7702","19p13.12"
"NDUFB8","Approved symbol","NDUFB8","NADH:ubiquinone oxidoreductase subunit B8","HGNC:7703","10q24.31"
"NDUFB9","Approved symbol","NDUFB9","NADH:ubiquinone oxidoreductase subunit B9","HGNC:7704","8q24.13"
"NDUFC1","Approved symbol","NDUFC1","NADH:ubiquinone oxidoreductase subunit C1","HGNC:7705","4q31.1"
"NDUFC2","Approved symbol","NDUFC2","NADH:ubiquinone oxidoreductase subunit C2","HGNC:7706","11q14.1"
"NDUFS1","Approved symbol","NDUFS1","NADH:ubiquinone oxidoreductase core subunit S1","HGNC:7707","2q33.3"
"NDUFS2","Approved symbol","NDUFS2","NADH:ubiquinone oxidoreductase core subunit S2","HGNC:7708","1q23.3"
"NDUFS3","Approved symbol","NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3","HGNC:7710","11p11.2"
"NDUFS4","Approved symbol","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4","HGNC:7711","5q11.2"
"NDUFS5","Approved symbol","NDUFS5","NADH:ubiquinone oxidoreductase subunit S5","HGNC:7712","1p34.3"
"NDUFS6","Approved symbol","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6","HGNC:7713","5p15.33"
"NDUFS7","Approved symbol","NDUFS7","NADH:ubiquinone oxidoreductase core subunit S7","HGNC:7714","19p13.3"
"NDUFS8","Approved symbol","NDUFS8","NADH:ubiquinone oxidoreductase core subunit S8","HGNC:7715","11q13.2"
"NDUFV1","Approved symbol","NDUFV1","NADH:ubiquinone oxidoreductase core subunit V1","HGNC:7716","11q13.2"
"NDUFV2","Approved symbol","NDUFV2","NADH:ubiquinone oxidoreductase core subunit V2","HGNC:7717","18p11.22"
"NDUFV3","Approved symbol","NDUFV3","NADH:ubiquinone oxidoreductase subunit V3","HGNC:7719","21q22.3"
"NEB","Approved symbol","NEB","nebulin","HGNC:7720","2q23.3"
"NEBL","Approved symbol","NEBL","nebulette","HGNC:16932","10p12.31"
"NECAB2","Approved symbol","NECAB2","N-terminal EF-hand calcium binding protein 2","HGNC:23746","16q23.3"
"NECAB3","Approved symbol","NECAB3","N-terminal EF-hand calcium binding protein 3","HGNC:15851","20q11.22"
"NECAP1","Approved symbol","NECAP1","NECAP endocytosis associated 1","HGNC:24539","12p13.31"
"NECAP2","Approved symbol","NECAP2","NECAP endocytosis associated 2","HGNC:25528","1p36.13"
"NEDD1","Approved symbol","NEDD1","NEDD1 gamma-tubulin ring complex targeting factor","HGNC:7723","12q23.1"
"NEDD4","Approved symbol","NEDD4","NEDD4 E3 ubiquitin protein ligase","HGNC:7727","15q21.3"
"NEDD4L","Approved symbol","NEDD4L","NEDD4 like E3 ubiquitin protein ligase","HGNC:7728","18q21.31"
"NEDD8","Approved symbol","NEDD8","NEDD8 ubiquitin like modifier","HGNC:7732","14q12"
"NEDD9","Approved symbol","NEDD9","neural precursor cell expressed, developmentally down-regulated 9","HGNC:7733","6p24.2"
"NEFH","Approved symbol","NEFH","neurofilament heavy","HGNC:7737","22q12.2"
"NEGR1","Approved symbol","NEGR1","neuronal growth regulator 1","HGNC:17302","1p31.1"
"NEIL1","Approved symbol","NEIL1","nei like DNA glycosylase 1","HGNC:18448","15q24.2"
"NEIL2","Approved symbol","NEIL2","nei like DNA glycosylase 2","HGNC:18956","8p23.1"
"NEIL3","Approved symbol","NEIL3","nei like DNA glycosylase 3","HGNC:24573","4q34.3"
"NEK1","Approved symbol","NEK1","NIMA related kinase 1","HGNC:7744","4q33"
"NEK10","Approved symbol","NEK10","NIMA related kinase 10","HGNC:18592","3p24.1"
"NEK11","Approved symbol","NEK11","NIMA related kinase 11","HGNC:18593","3q22.1"
"NEK2","Approved symbol","NEK2","NIMA related kinase 2","HGNC:7745","1q32.3"
"NEK3","Approved symbol","NEK3","NIMA related kinase 3","HGNC:7746","13q14.3"
"NEK4","Approved symbol","NEK4","NIMA related kinase 4","HGNC:11399","3p21.1"
"NEK6","Approved symbol","NEK6","NIMA related kinase 6","HGNC:7749","9q33.3"
"NEK7","Approved symbol","NEK7","NIMA related kinase 7","HGNC:13386","1q31.3"
"NEK8","Approved symbol","NEK8","NIMA related kinase 8","HGNC:13387","17q11.2"
"NEK8","Alias symbol","NEK9","NIMA related kinase 9","HGNC:18591","14q24.3"
"NEK9","Approved symbol","NEK9","NIMA related kinase 9","HGNC:18591","14q24.3"
"NELFA","Approved symbol","NELFA","negative elongation factor complex member A","HGNC:12768","4p16.3"
"NELFB","Approved symbol","NELFB","negative elongation factor complex member B","HGNC:24324","9q34.3"
"NELFCD","Approved symbol","NELFCD","negative elongation factor complex member C/D","HGNC:15934","20q13.32"
"NELFE","Approved symbol","NELFE","negative elongation factor complex member E","HGNC:13974","6p21.33"
